H_Copper (mm),H_leg (mm),Width_leg_p (mm),Width_leg_n (mm),Delta_T (K),Power Output (Watts),Voltage (V),Effeciency,rho_c
0.618181818,2.222727273,1.487272727,0.12,498,0.006355363,0.06355363,0.193512233,2.281003141
0.618181818,2.222727273,0.632727273,0.290909091,496,0.006264803,0.062648026,0.079996028,0.970402315
1.827272727,1.704545455,1.658181818,0.461818182,413,0.000631266,0.006312662,0.001632363,1.950247934
0.963636364,0.15,1.145454545,0.803636364,459,0.006157523,0.061575233,0.009441308,0.118554546
1.654545455,0.15,0.632727273,1.316363636,466,0.005775657,0.057756565,0.004588402,0.065487273
1.136363636,1.704545455,1.829090909,1.658181818,434,0.006006193,0.060061929,0.163002153,2.151260331
1.136363636,1.963636364,1.658181818,1.487272727,430,0.000663006,0.006630061,0.002074336,2.24668562
0.963636364,0.409090909,1.487272727,0.974545455,491,0.006513007,0.065130074,0.037404555,0.419816529
0.618181818,2.222727273,1.487272727,1.316363636,488,0.006592248,0.065922479,0.20820673,2.281003141
1.136363636,2.481818182,0.461818182,0.974545455,416,0.000579475,0.005794747,0.000557777,0.790842645
0.963636364,1.186363636,1.487272727,1.829090909,486,0.006588322,0.065883224,0.110996437,1.217467933
1.827272727,2.740909091,1.487272727,0.12,403,0.005069348,0.050693483,0.151823996,2.812770743
1.654545455,0.927272727,2,0.290909091,444,0.006046997,0.060469972,0.098280629,1.279636363
1.827272727,1.963636364,1.316363636,0.461818182,446,0.00062979,0.006297896,0.001485863,1.783553058
0.618181818,1.963636364,1.145454545,0.974545455,408,0.005208865,0.052088651,0.088445564,1.551986777
0.963636364,3,0.974545455,1.145454545,419,0.000669657,0.006696568,0.00190011,2.017309092
1.309090909,1.963636364,0.461818182,1.316363636,422,0.000670239,0.006702385,0.000590394,0.625721653
0.272727273,3,1.316363636,0.290909091,394,0.006457278,0.06457278,0.238642071,2.724872727
2,2.222727273,1.145454545,1.829090909,463,0.006380583,0.063805825,0.150222714,1.756762809
1.827272727,1.186363636,0.803636364,1.316363636,434,0.000666005,0.006660046,0.00061289,0.657849422
1.827272727,2.481818182,1.487272727,0.803636364,407,0.006867547,0.068675473,0.252298579,2.546886942
0.790909091,1.445454545,0.632727273,1.316363636,438,0.006064505,0.06064505,0.048748653,0.631059174
1.481818182,1.963636364,2,2,368,0.005481654,0.054816538,0.171027197,2.709818182
1.309090909,1.704545455,0.461818182,0.632727273,416,0.000614369,0.006143692,0.000430615,0.543161157
0.445454545,0.15,1.145454545,0.12,405,0.000636454,0.006364537,0.000100868,0.118554546
1.481818182,1.186363636,2,1.145454545,347,0.000638407,0.006384068,0.001401502,1.637181818
0.790909091,3,0.461818182,0.803636364,402,0.006714641,0.067146407,0.090529214,0.955963637
1.654545455,1.963636364,1.145454545,0.974545455,423,0.006958616,0.069586155,0.157846703,1.551986777
1.309090909,1.445454545,2,1.829090909,474,0.006399891,0.063998906,0.1716052,1.994727272
2,0.668181818,0.974545455,0.290909091,497,0.006379663,0.063796629,0.038409896,0.449309752
0.618181818,0.15,0.632727273,1.316363636,479,0.005921799,0.059217991,0.004823542,0.065487273
2,2.740909091,1.316363636,1.316363636,456,0.006245387,0.062453874,0.203957736,2.489542809
1.309090909,0.668181818,1.487272727,0.803636364,479,0.006016712,0.060167123,0.052138036,0.685700331
0.790909091,0.409090909,1.487272727,0.974545455,447,0.005480658,0.054806575,0.026486628,0.419816529
1.309090909,2.740909091,0.974545455,1.145454545,464,0.006164017,0.061640168,0.147087331,1.843086943
1.309090909,2.740909091,0.290909091,0.461818182,461,0.005790723,0.057907228,0.038749704,0.550175207
1.136363636,1.963636364,1.316363636,1.145454545,431,0.000670544,0.00670544,0.001684389,1.783553058
0.963636364,1.445454545,0.12,0.632727273,430,0.005614771,0.056147705,0.007925024,0.119683636
0.790909091,0.668181818,0.803636364,1.487272727,443,0.000654107,0.006541074,0.000332969,0.370512893
1.827272727,1.963636364,1.658181818,2,455,0.005700743,0.057007426,0.153358195,2.24668562
1.309090909,1.704545455,1.487272727,1.145454545,424,0.005311744,0.05311744,0.103663145,1.749235537
1.827272727,3,1.829090909,0.290909091,410,0.006893871,0.068938709,0.377949476,3.786218182
0.963636364,1.186363636,0.803636364,2,437,0.000661041,0.00661041,0.000603789,0.657849422
1.481818182,0.668181818,0.290909091,1.829090909,477,0.006028608,0.06028608,0.010238514,0.134122314
0.618181818,1.704545455,2,1.487272727,435,0.006997751,0.069977513,0.241939344,2.352272728
0.963636364,2.481818182,0.632727273,1.145454545,423,0.005220852,0.052208522,0.062032634,1.083516695
1.136363636,1.445454545,0.803636364,0.974545455,432,0.005637886,0.056378858,0.053511543,0.801517686
1.654545455,2.740909091,0.12,1.487272727,490,0.006029077,0.060290773,0.017327204,0.226947273
1.136363636,0.409090909,2,0.632727273,417,0.005090001,0.050900008,0.030721077,0.564545454
0.963636364,2.222727273,0.974545455,0.632727273,435,0.005241262,0.052412623,0.086240443,1.494642646
0.445454545,0.15,0.461818182,0.632727273,466,0.006107095,0.061070954,0.003744403,0.047798182
1.309090909,2.222727273,1.658181818,0.290909091,417,0.006300922,0.063009221,0.212069131,2.543123306
0.445454545,2.740909091,1.829090909,0.632727273,434,0.000696827,0.006968271,0.003528019,3.459226612
0.445454545,0.15,1.487272727,1.145454545,481,0.006655304,0.06655304,0.014320843,0.153932727
1.309090909,2.222727273,1.145454545,0.974545455,434,0.000667024,0.006670237,0.001641714,1.756762809
2,0.409090909,1.658181818,0.290909091,476,0.006262804,0.062628037,0.038560307,0.468059504
2,0.927272727,0.803636364,0.12,440,0.006207148,0.062071484,0.041610433,0.514181157
0.618181818,1.963636364,0.632727273,1.487272727,495,0.006035062,0.06035062,0.065583109,0.857287935
1.136363636,0.927272727,0.290909091,1.145454545,470,0.006201031,0.062010308,0.015032924,0.186128926
1.827272727,1.445454545,1.487272727,1.658181818,482,0.0059177,0.059176995,0.10910679,1.483351735
1.654545455,0.668181818,1.316363636,1.658181818,482,0.005954603,0.059546032,0.04519882,0.60690347
0.963636364,2.740909091,0.290909091,0.632727273,444,0.006506831,0.065068308,0.048926242,0.550175207
1.827272727,1.186363636,0.632727273,1.829090909,409,0.006961843,0.069618425,0.052727075,0.517944793
0.790909091,1.445454545,2,1.316363636,477,0.006220255,0.062202554,0.162107003,1.994727272
1.136363636,2.740909091,1.829090909,1.829090909,441,0.006408456,0.064084556,0.298392286,3.459226612
1.309090909,2.740909091,0.803636364,0.290909091,492,0.006459505,0.064595054,0.133199824,1.519859009
0.618181818,2.481818182,0.632727273,0.803636364,445,0.005246429,0.052464287,0.062641908,1.083516695
